text,label,date,favorites,retweets,mentions,hashTags,id,subject
Recebi no zap da família que a OMS divulgou uma vacina caseira pra matar o corona vírus: Dissolver 3 ml de detergente minuano em 2 litros de água com vinagre ou limão+ bicarbonato. Até que enfim ,f,2020-09-03 01:14:24+00:00,0.0,3.0,,,1.30132765255347e+18,Chá de limão com bicarbonato quente cura coronavírus
"Não brinquem com o coronavírus, mas eu fiz meu próprio remédio: chá de boldo seguido de uma pitada de bicarbonato de sódio dissolvida em um limão espremido em dois dedos de água, todos os dias, em jejum. Todos-os-dias... até hoje... até plantei dois pés de boldo em casa.",f,2020-08-27 02:53:30+00:00,0.0,2.0,,,1.29881587764792e+18,Chá de limão com bicarbonato quente cura coronavírus
"1. Beber muita água e fazer gargarejo com água morna, sal e vinagre previne coronavírus - uma das primeiras a serem veiculadas. 2. Chá de limão com bicarbonato quente cura coronavírus - não cura, mas limpa fogão que é uma beleza! 3. Água ou chá quente mata o coronavírus – não!",t,2020-08-19 21:33:37+00:00,0.0,1.0,,,1.2961986611987e+18,Chá de limão com bicarbonato quente cura coronavírus
"Vai estudar tia, vai ler um livro de Química e Biologia. Pensamento seu típico de quem vive de WhatsApp pra informação. É gente como você acha que água com limão e bicarbonato de sódio cura COVID.",t,2020-08-10 22:37:11+00:00,0.0,0.0,,,1.29295316872947e+18,Chá de limão com bicarbonato quente cura coronavírus
"minha prima testou positivo pra covid19 minha tia: faz um gargarejo com água, limão e bicarbonato pra melhorar ",f,2020-08-01 21:32:30+00:00,0.0,12.0,,,1.28967539875462e+18,Chá de limão com bicarbonato quente cura coronavírus
"minha vó dizendo q fazer gargarejo de bicarbonato e limão mata o corona, q israel se curou assim ",f,2020-07-31 22:35:56+00:00,0.0,1.0,,,1.28932897279946e+18,Chá de limão com bicarbonato quente cura coronavírus
O Renni está esgotado? A melhor receita é: 1 copo de água Umas gotas de limão Uma colher de café de bicarbonato Experimentem e de certeza que vão ver mais futebol... Corona 4ever,f,2020-07-29 11:13:19+00:00,0.0,0.0,,,1.28843241314468e+18,Chá de limão com bicarbonato quente cura coronavírus
Cansei de explicar pra minhas tias q gargarejo de limao+agua+bicarbonato não cura/previne contra o corona ,t,2020-07-28 01:14:04+00:00,0.0,0.0,,,1.28791921959886e+18,Chá de limão com bicarbonato quente cura coronavírus
"Conversando hoje com meus avós, descobri que se eu tomar bicarbonato com limão e também amassar bem um dente de alho, colocar na água e beber todos os dias, eu fico imune ao Covid. E para melhorar minha anemia, é só comer uma colher de melado de cana em jejum todos os dias.",f,2020-07-23 20:57:12+00:00,0.0,3.0,,,1.28640502295635e+18,Chá de limão com bicarbonato quente cura coronavírus
o vídeo do cara falando que água com limão e bicarbonato cura do coronavirus,f,2020-07-20 01:55:04+00:00,0.0,0.0,,,1.28503043105066e+18,Chá de limão com bicarbonato quente cura coronavírus
